Ano;Localidade;Tipo;IDEB
2005;Caldas Novas;Municipal;3.9
2007;Caldas Novas;Municipal;3.8
2009;Caldas Novas;Municipal;4.0
2011;Caldas Novas;Municipal;4.9
2013;Caldas Novas;Municipal;5.5
2015;Caldas Novas;Municipal;5.5
2017;Caldas Novas;Municipal;5.7
2019;Caldas Novas;Municipal;6.0
2021;Caldas Novas;Municipal;5.7
2023;Caldas Novas;Municipal;5.9
2005;Caldas Novas;Estadual;4.6
2007;Caldas Novas;Estadual;4.7
2009;Caldas Novas;Estadual;5.6
2011;Caldas Novas;Estadual;6.2
2013;Caldas Novas;Estadual;6.6
2015;Caldas Novas;Estadual;6.4
2017;Caldas Novas;Estadual;7.0
2019;Caldas Novas;Estadual;6.8
2021;Caldas Novas;Estadual;6.5
2023;Caldas Novas;Estadual;
2005;Goiânia;Municipal;3.9
2007;Goiânia;Municipal;4.2
2009;Goiânia;Municipal;5.1
2011;Goiânia;Municipal;5.3
2013;Goiânia;Municipal;5.4
2015;Goiânia;Municipal;5.6
2017;Goiânia;Municipal;5.8
2019;Goiânia;Municipal;5.9
2021;Goiânia;Municipal;5.9
2023;Goiânia;Municipal;6.5
2005;Goiânia;Estadual;4.0
2007;Goiânia;Estadual;4.1
2009;Goiânia;Estadual;4.9
2011;Goiânia;Estadual;5.4
2013;Goiânia;Estadual;6.1
2015;Goiânia;Estadual;6.3
2017;Goiânia;Estadual;7.0
2019;Goiânia;Estadual;6.7
2021;Goiânia;Estadual;6.7
2023;Goiânia;Estadual;6.5
